Ex-Div Date,Amount
3/19/1993,0.2132
6/18/1993,0.318
9/17/1993,0.2862
12/17/1993,0.3172
3/18/1994,0.2712
6/17/1994,0.305
9/16/1994,0.2882
12/16/1994,0.3627
3/13/1995,0.2682
6/16/1995,0.3162
9/15/1995,0.3123
12/15/1995,0.382
3/15/1996,0.2854
6/21/1996,0.3509
9/20/1996,0.3519
12/20/1996,0.4068
3/21/1997,0.2993
6/20/1997,0.35
9/19/1997,0.3484
12/19/1997,0.3795
3/20/1998,0.3134
6/19/1998,0.352
9/18/1998,0.3585
12/18/1998,0.3918
3/19/1999,0.3199
6/18/1999,0.405
9/17/1999,0.3722
12/17/1999,0.3476
3/17/2000,0.3708
6/16/2000,0.3484
9/15/2000,0.3753
12/15/2000,0.4113
3/16/2001,0.3155
6/15/2001,0.3464
9/21/2001,0.369
12/21/2001,0.3928
3/15/2002,0.331
6/21/2002,0.3534
9/20/2002,0.3781
12/20/2002,0.4358
3/21/2003,0.3544
6/20/2003,0.3603
9/19/2003,0.4001
12/19/2003,0.5156
3/19/2004,0.3948
6/18/2004,0.4138
9/17/2004,0.4688
11/15/2004,0.351
12/17/2004,0.5679
3/18/2005,0.4671
6/17/2005,0.4876
9/16/2005,0.5217
12/16/2005,0.6717
3/17/2006,0.5195
6/16/2006,0.5555
9/15/2006,0.5793
12/15/2006,0.7926
3/16/2007,0.5513
6/15/2007,0.6556
9/21/2007,0.7187
12/21/2007,0.7754
3/20/2008,0.642
6/20/2008,0.6692
9/19/2008,0.6909
12/19/2008,0.7193
3/20/2009,0.5614
6/19/2009,0.5182
9/18/2009,0.5083
12/18/2009,0.5902
3/19/2010,0.4804
6/18/2010,0.5313
9/17/2010,0.6021
12/17/2010,0.6528
3/18/2011,0.5533
6/17/2011,0.6276
9/16/2011,0.625
12/16/2011,0.7701
3/16/2012,0.6139
6/15/2012,0.6883
9/21/2012,0.7794
12/21/2012,1.0218
3/15/2013,0.6937
6/21/2013,0.8391
9/20/2013,0.8379
12/20/2013,0.9802
3/21/2014,0.8246
6/20/2014,0.9367
9/19/2014,0.9392
12/19/2014,1.1349
3/20/2015,0.9308
6/19/2015,1.0301
9/18/2015,1.0334
12/18/2015,1.2115
3/18/2016,1.0496
6/17/2016,1.0784
9/16/2016,1.0821
12/16/2016,1.3289
3/17/2017,1.0331
6/16/2017,1.1831
9/15/2017,1.2346
12/15/2017,1.3513
3/16/2018,1.0968
6/15/2018,1.2456
9/21/2018,1.3226
12/21/2018,1.4354
3/15/2019,1.2331
6/21/2019,1.4316
9/20/2019,1.3836
12/20/2019,1.57
3/20/2020,1.4056
6/19/2020,1.3662
9/18/2020,1.3392
12/18/2020,1.58
3/19/2021,1.2778
6/18/2021,1.3759
9/17/2021,1.4281
12/17/2021,1.6364
3/18/2022,1.366
6/17/2022,1.5769
9/16/2022,1.5964
