Date,Open,High,Low,Close,Adj Close,Volume
11/13/2000,30.219999,30.219999,30.219999,30.219999,20.259413,0
11/14/2000,31.01,31.01,31.01,31.01,20.789034,0
11/15/2000,31.200001,31.200001,31.200001,31.200001,20.916412,0
11/16/2000,30.700001,30.700001,30.700001,30.700001,20.581198,0
11/17/2000,30.559999,30.559999,30.559999,30.559999,20.487347,0
11/20/2000,29.84,29.84,29.84,29.84,20.00466,0
11/21/2000,29.85,29.85,29.85,29.85,20.011374,0
11/22/2000,29.24,29.24,29.24,29.24,19.602427,0
11/24/2000,29.83,29.83,29.83,29.83,19.997959,0
11/27/2000,29.93,29.93,29.93,29.93,20.065004,0
11/28/2000,29.459999,29.459999,29.459999,29.459999,19.74991,0
11/29/2000,29.51,29.51,29.51,29.51,19.783432,0
11/30/2000,28.93,28.93,28.93,28.93,19.394615,0
12/1/2000,29.08,29.08,29.08,29.08,19.495159,0
12/4/2000,29.190001,29.190001,29.190001,29.190001,19.568903,0
12/5/2000,30.48,30.48,30.48,30.48,20.433725,0
12/6/2000,29.950001,29.950001,29.950001,29.950001,20.078409,0
12/7/2000,29.790001,29.790001,29.790001,29.790001,19.971157,0
12/8/2000,30.59,30.59,30.59,30.59,20.507469,0
12/11/2000,30.959999,30.959999,30.959999,30.959999,20.755508,0
12/12/2000,30.65,30.65,30.65,30.65,20.547689,0
12/13/2000,30.32,30.32,30.32,30.32,20.32645,0
12/14/2000,29.799999,29.799999,29.799999,29.799999,19.977852,0
12/15/2000,29.23,29.23,29.23,29.23,19.595722,0
12/18/2000,29.440001,29.440001,29.440001,29.440001,19.736515,0
12/19/2000,28.98,28.98,28.98,28.98,19.428125,0
12/20/2000,27.799999,27.799999,27.799999,27.799999,18.752892,0
12/21/2000,27.950001,27.950001,27.950001,27.950001,18.854071,0
12/22/2000,28.790001,28.790001,28.790001,28.790001,19.42071,0
12/26/2000,28.969999,28.969999,28.969999,28.969999,19.542124,0
12/27/2000,29.360001,29.360001,29.360001,29.360001,19.805197,0
12/28/2000,29.629999,29.629999,29.629999,29.629999,19.987339,0
12/29/2000,29.26,29.26,29.26,29.26,19.737743,0
1/2/2001,28.280001,28.280001,28.280001,28.280001,19.076681,0
1/3/2001,29.76,29.76,29.76,29.76,20.075031,0
1/4/2001,29.389999,29.389999,29.389999,29.389999,19.825434,0
1/5/2001,28.540001,28.540001,28.540001,28.540001,19.25206,0
1/8/2001,28.459999,28.459999,28.459999,28.459999,19.198105,0
1/9/2001,28.610001,28.610001,28.610001,28.610001,19.299284,0
1/10/2001,29.02,29.02,29.02,29.02,19.575851,0
1/11/2001,29.41,29.41,29.41,29.41,19.838926,0
1/12/2001,29.299999,29.299999,29.299999,29.299999,19.764727,0
1/16/2001,29.5,29.5,29.5,29.5,19.899651,0
1/17/2001,29.610001,29.610001,29.610001,29.610001,19.973852,0
1/18/2001,29.940001,29.940001,29.940001,29.940001,20.196451,0
1/19/2001,29.790001,29.790001,29.790001,29.790001,20.095266,0
1/22/2001,29.799999,29.799999,29.799999,29.799999,20.102003,0
1/23/2001,30.27,30.27,30.27,30.27,20.419065,0
1/24/2001,30.379999,30.379999,30.379999,30.379999,20.493256,0
1/25/2001,30.16,30.16,30.16,30.16,20.344866,0
1/26/2001,30.129999,30.129999,30.129999,30.129999,20.324621,0
1/29/2001,30.4,30.4,30.4,30.4,20.506752,0
1/30/2001,30.6,30.6,30.6,30.6,20.641661,0
1/31/2001,30.389999,30.389999,30.389999,30.389999,20.500004,0
2/1/2001,30.51,30.51,30.51,30.51,20.580957,0
2/2/2001,29.950001,29.950001,29.950001,29.950001,20.203201,0
2/5/2001,30.01,30.01,30.01,30.01,20.243671,0
2/6/2001,30.030001,30.030001,30.030001,30.030001,20.25716,0
2/7/2001,29.799999,29.799999,29.799999,29.799999,20.102003,0
2/8/2001,29.6,29.6,29.6,29.6,19.967093,0
2/9/2001,29.200001,29.200001,29.200001,29.200001,19.697277,0
2/12/2001,29.51,29.51,29.51,29.51,19.906393,0
2/13/2001,29.25,29.25,29.25,29.25,19.731005,0
2/14/2001,29.25,29.25,29.25,29.25,19.731005,0
2/15/2001,29.52,29.52,29.52,29.52,19.913137,0
2/16/2001,28.98,28.98,28.98,28.98,19.54887,0
2/20/2001,28.440001,28.440001,28.440001,28.440001,19.184612,0
2/21/2001,27.93,27.93,27.93,27.93,18.840582,0
2/22/2001,27.799999,27.799999,27.799999,27.799999,18.752892,0
2/23/2001,27.700001,27.700001,27.700001,27.700001,18.685438,0
2/26/2001,28.24,28.24,28.24,28.24,19.04969,0
2/27/2001,27.92,27.92,27.92,27.92,18.83383,0
2/28/2001,27.52,27.52,27.52,27.52,18.564011,0
3/1/2001,27.530001,27.530001,27.530001,27.530001,18.570751,0
3/2/2001,27.41,27.41,27.41,27.41,18.489803,0
3/5/2001,27.549999,27.549999,27.549999,27.549999,18.584246,0
3/6/2001,27.84,27.84,27.84,27.84,18.779867,0
3/7/2001,28.01,28.01,28.01,28.01,18.894547,0
3/8/2001,28,28,28,28,18.8878,0
3/9/2001,27.309999,27.309999,27.309999,27.309999,18.42235,0
3/12/2001,26.15,26.15,26.15,26.15,17.63986,0
3/13/2001,26.549999,26.549999,26.549999,26.549999,17.909681,0
3/14/2001,25.9,25.9,25.9,25.9,17.471205,0
3/15/2001,25.99,25.99,25.99,25.99,17.531919,0
3/16/2001,25.379999,25.379999,25.379999,25.379999,17.168659,0
3/19/2001,25.85,25.85,25.85,25.85,17.486599,0
3/20/2001,25.25,25.25,25.25,25.25,17.080721,0
3/21/2001,24.780001,24.780001,24.780001,24.780001,16.762785,0
3/22/2001,24.67,24.67,24.67,24.67,16.688374,0
3/23/2001,25.18,25.18,25.18,25.18,17.033375,0
3/26/2001,25.459999,25.459999,25.459999,25.459999,17.222778,0
3/27/2001,26.07,26.07,26.07,26.07,17.635422,0
3/28/2001,25.42,25.42,25.42,25.42,17.195721,0
3/29/2001,25.290001,25.290001,25.290001,25.290001,17.107782,0
3/30/2001,25.6,25.6,25.6,25.6,17.317488,0
4/2/2001,25.200001,25.200001,25.200001,25.200001,17.046896,0
4/3/2001,24.290001,24.290001,24.290001,24.290001,16.431314,0
4/4/2001,24.209999,24.209999,24.209999,24.209999,16.37719,0
4/5/2001,25.33,25.33,25.33,25.33,17.134836,0
